Time(s),UE0_Throughput(Kbps),UE1_Throughput(Kbps),UE2_Throughput(Kbps),UE3_Throughput(Kbps),UE4_Throughput(Kbps),Avg_Latency(ms),UE0_PacketLoss(%),UE1_PacketLoss(%),UE2_PacketLoss(%),UE3_PacketLoss(%),UE4_PacketLoss(%)
1,0,0,0,0,0,0,0,0,0,0,0
2,72.192,72.192,72.192,72.192,72.192,22.1323,2.04082,2.04082,2.04082,2.04082,2.04082
3,75.2,75.2,75.2,75.2,75.2,23.097,1.0101,1.0101,1.0101,1.0101,1.0101
4,75.2,75.2,75.2,75.2,75.2,23.1013,0.671141,0.671141,0.671141,0.671141,0.671141
5,73.696,75.2,75.2,75.2,75.2,25.8536,1.00503,0.502513,0.502513,0.502513,0.502513
6,0,75.2,51.136,75.2,75.2,64.9513,20.8835,0.401606,6.82731,0.401606,0.401606
7,82.72,75.2,81.216,72.192,75.2,344.253,15.7191,0.334448,4.34783,1.00334,0.334448
8,75.2,75.2,67.68,70.688,75.2,42.629,13.467,0.286533,5.15759,1.7192,0.286533
9,75.2,75.2,75.2,79.712,75.2,42.646,11.7794,0.250627,4.51128,0.75188,0.250627
10,66.176,75.2,75.2,55.648,75.2,24.9931,11.804,0.222717,4.00891,3.56347,0.222717
11,75.2,61.664,75.2,0,75.2,69.488,10.6212,2.00401,3.60721,13.2265,0.200401
12,66.176,76.704,75.2,0,43.616,143.633,10.7468,1.63934,3.27869,21.1293,4.00729
13,60.16,67.68,75.2,145.888,79.712,392.967,11.5192,2.33723,3.00501,11.5192,3.17195
14,75.2,75.2,75.2,75.2,34.592,29.1929,10.6317,2.15716,2.7735,10.6317,7.08783
15,75.2,75.2,25.568,75.2,75.2,44.6702,9.87124,2.00286,7.29614,9.87124,6.58083
16,52.64,75.2,99.264,75.2,75.2,105.259,11.215,1.86916,4.6729,9.21228,6.14152
17,27.072,75.2,58.656,75.2,75.2,68.4784,14.5181,1.75219,5.7572,8.63579,5.7572
18,27.072,75.2,75.2,75.2,75.2,23.4946,17.4323,1.649,5.41814,8.12721,5.41814
19,34.592,75.2,75.2,75.2,75.2,23.393,19.4661,1.55729,5.1168,7.67519,5.1168
